,,
7.5,2,-2.1591
15,2,-4.6918
22.5,2,-5.2568
30,2,-4.944
37.5,2,-5.3742
45,2,-6.5706
52.5,2,-4.7958
60,2,-5.464
67.5,2,-6.9892
75,2,-2.6337
82.5,2,-0.44082
90,2,5.2718
97.5,2,3.0785
105,2,7.4129
112.5,2,5.859
120,2,8.6464
127.5,2,8.4075
135,2,6.4442
142.5,2,4.7375
150,2,6.1906
157.5,2,5.2269
165,2,1.4437
172.5,2,0.49201
180,2,-0.64126
187.5,2,0.17176
195,2,-3.2589
202.5,2,-3.3257
210,2,-4.871
217.5,2,-4.8554
225,2,-1.5655
232.5,2,-0.93001
240,2,-0.9602
247.5,2,-1.69
255,2,-3.4782
262.5,2,-2.5611
270,2,-1.0982
277.5,2,0.81824
285,2,3.4131
292.5,2,2.3402
300,2,5.2284
307.5,2,3.8407
315,2,5.0167
322.5,2,1.8841
330,2,-0.42167
337.5,2,2.4499
345,2,0.58712
352.5,2,0.70024
360,2,-0.83986
7.5,4,0.05436
15,4,-1.0238
22.5,4,-3.132
30,4,-1.2106
37.5,4,-0.2285
45,4,-5.0494
52.5,4,-4.3419
60,4,-4.5429
67.5,4,-3.84
75,4,-4.621
82.5,4,-4.1215
90,4,0.020606
97.5,4,2.079
105,4,1.2696
112.5,4,2.7424
120,4,0.98877
127.5,4,1.328
135,4,4.2363
142.5,4,0.90469
150,4,3.7971
157.5,4,2.8434
165,4,2.416
172.5,4,-0.39143
180,4,-0.19096
187.5,4,-2.7594
195,4,-3.9774
202.5,4,-4.1055
210,4,-1.9969
217.5,4,-3.3595
225,4,-2.0534
232.5,4,-1.6909
240,4,-1.8192
247.5,4,-1.0764
255,4,-1.6134
262.5,4,-0.84961
270,4,0.77849
277.5,4,3.1113
285,4,2.6936
292.5,4,2.556
300,4,2.4349
307.5,4,2.7741
315,4,4.4938
322.5,4,4.2706
330,4,3.1181
337.5,4,2.684
345,4,0.89861
352.5,4,1.0163
360,4,-0.10298
7.5,6,1.2681
15,6,0.15672
22.5,6,0.58328
30,6,-1.4531
37.5,6,-0.17495
45,6,-0.67804
52.5,6,-0.0051185
60,6,0.65814
67.5,6,-0.41871
75,6,-1.7135
82.5,6,-2.947
90,6,0.36091
97.5,6,0.60544
105,6,2.8271
112.5,6,2.2362
120,6,1.7041
127.5,6,3.193
135,6,3.3909
142.5,6,0.32062
150,6,3.2418
157.5,6,2.6782
165,6,1.7138
172.5,6,0.17346
180,6,-1.5339
187.5,6,-1.7966
195,6,-3.0192
202.5,6,-3.721
210,6,-5.7657
217.5,6,-4.8585
225,6,-5.7835
232.5,6,-5.8714
240,6,-2.2397
247.5,6,-0.36873
255,6,-1.9944
262.5,6,-2.7942
270,6,0.17258
277.5,6,4
285,6,1.0893
292.5,6,2.5305
300,6,3.3627
307.5,6,2.4283
315,6,2.0232
322.5,6,1.8364
330,6,1.6106
337.5,6,2.1684
345,6,0.79429
352.5,6,0.37285
360,6,0.73664
7.5,8,1.7876
15,8,-0.94722
22.5,8,-0.85123
30,8,-0.48564
37.5,8,-0.62802
45,8,1.1861
52.5,8,1.7071
60,8,-0.13032
67.5,8,-0.62788
75,8,-0.49178
82.5,8,-2.071
90,8,-0.97784
97.5,8,2.4706
105,8,1.5824
112.5,8,1.811
120,8,3.2442
127.5,8,1.7759
135,8,3.5137
142.5,8,1.8191
150,8,3.6902
157.5,8,2.3639
165,8,0.2371
172.5,8,0.82737
180,8,-1.3327
187.5,8,-1.794
195,8,-4.171
202.5,8,-2.901
210,8,-5.3991
217.5,8,-7.3276
225,8,-5.7097
232.5,8,-4.389
240,8,-0.97511
247.5,8,-0.78014
255,8,-2.408
262.5,8,0.94327
270,8,-0.13456
277.5,8,2.9492
285,8,2.0741
292.5,8,2.643
300,8,5.0175
307.5,8,3.3419
315,8,2.0381
322.5,8,5.5707
330,8,3.7051
337.5,8,5.0868
345,8,3.0488
352.5,8,0.70973
360,8,0.78741
7.5,10,-0.18812
15,10,0.074076
22.5,10,-0.6308
30,10,-1.3834
37.5,10,-0.61583
45,10,0.32288
52.5,10,0.98404
60,10,0.18102
67.5,10,0.39908
75,10,-1.2453
82.5,10,-2.5999
90,10,-1.7099
97.5,10,0.42667
105,10,0.48672
112.5,10,0.16096
120,10,1.3685
127.5,10,2.6185
135,10,2.1516
142.5,10,1.6423
150,10,0.95935
157.5,10,1.6006
165,10,2.7119
172.5,10,-0.1423
180,10,-0.94015
187.5,10,-2.0865
195,10,-4.4017
202.5,10,-5.1623
210,10,-3.553
217.5,10,-4.5414
225,10,-5.3344
232.5,10,-4.8273
240,10,-3.586
247.5,10,-3.837
255,10,-3.2924
262.5,10,-1.3732
270,10,-0.26676
277.5,10,2.0983
285,10,2.226
292.5,10,4.6941
300,10,6.0905
307.5,10,5.3278
315,10,4.9548
322.5,10,3.7699
330,10,4.5935
337.5,10,3.1282
345,10,3.6236
352.5,10,1.562
360,10,0.48671
