,,
7.5,2,-2.2387
15,2,-2.5179
22.5,2,-1.482
30,2,-7.2368
37.5,2,-8.649
45,2,-9.7068
52.5,2,-1.7582
60,2,3.188
67.5,2,-0.4956
75,2,-1.2434
82.5,2,0.15199
90,2,-1.0308
97.5,2,-0.94007
105,2,-5.8944
112.5,2,-6.0321
120,2,-9.2904
127.5,2,-2.8543
135,2,1.3923
142.5,2,-1.199
150,2,1.6404
157.5,2,4.0393
165,2,0.37647
172.5,2,-0.38009
180,2,-2.0197
187.5,2,-4.9248
195,2,-9.7924
202.5,2,-10.334
210,2,-12.945
217.5,2,-11.039
225,2,-7.7731
232.5,2,-5.642
240,2,0.3618
247.5,2,1.4482
255,2,-0.38865
262.5,2,-0.64088
270,2,-0.11489
277.5,2,1.5066
285,2,-3.7537
292.5,2,-3.4024
300,2,-2.9251
307.5,2,-2.3234
315,2,1.2303
322.5,2,4.0133
330,2,6.9733
337.5,2,6.3875
345,2,7.783
352.5,2,5.3045
360,2,2.2966
7.5,4,0.028203
15,4,-1.8036
22.5,4,-5.0722
30,4,-7.8543
37.5,4,-6.2942
45,4,-5.341
52.5,4,-4.585
60,4,0.54479
67.5,4,1.7944
75,4,-0.31617
82.5,4,-1.5638
90,4,-0.87674
97.5,4,-1.6912
105,4,-2.8447
112.5,4,-2.5361
120,4,-0.79872
127.5,4,0.93234
135,4,1.3405
142.5,4,2.6737
150,4,1.8158
157.5,4,-0.42836
165,4,-1.4177
172.5,4,-3.4887
180,4,-5.3587
187.5,4,-3.8146
195,4,-6.4084
202.5,4,-6.1695
210,4,-8.673
217.5,4,-7.3678
225,4,-5.9416
232.5,4,-3.5264
240,4,-1.8131
247.5,4,-1.6028
255,4,-1.2133
262.5,4,-3.4782
270,4,1.4376
277.5,4,2.388
285,4,2.1355
292.5,4,2.1294
300,4,4.3155
307.5,4,3.8656
315,4,3.3773
322.5,4,5.9289
330,4,5.2859
337.5,4,4.8959
345,4,4.9481
352.5,4,3.9076
360,4,1.8562
7.5,6,-0.29536
15,6,-1.8482
22.5,6,-4.2726
30,6,-6.474
37.5,6,-7.3108
45,6,-5.0564
52.5,6,-2.7869
60,6,-1.9708
67.5,6,1.8184
75,6,-0.25922
82.5,6,-0.86904
90,6,-1.1462
97.5,6,-1.4645
105,6,-2.8686
112.5,6,-2.1491
120,6,-1.1741
127.5,6,0.033432
135,6,1.9992
142.5,6,0.71238
150,6,0.59723
157.5,6,-1.2834
165,6,-3.8525
172.5,6,-2.964
180,6,-1.9906
187.5,6,-1.3238
195,6,-4.6998
202.5,6,-6.1364
210,6,-7.1343
217.5,6,-6.3462
225,6,-5.3698
232.5,6,-0.6163
240,6,0.6548
247.5,6,-0.31163
255,6,-0.41679
262.5,6,-2.832
270,6,1.216
277.5,6,3.165
285,6,2.7381
292.5,6,3.9256
300,6,6.2704
307.5,6,5.4754
315,6,6.4555
322.5,6,6.2445
330,6,5.1304
337.5,6,4.0801
345,6,1.9112
352.5,6,2.0248
360,6,2.2306
7.5,8,0.95818
15,8,-1.3523
22.5,8,-3.9163
30,8,-4.72
37.5,8,-7.2259
45,8,-3.7541
52.5,8,-3.4496
60,8,1.0517
67.5,8,-0.94721
75,8,-1.1835
82.5,8,-2.307
90,8,-0.30136
97.5,8,-1.3268
105,8,-2.1152
112.5,8,-2.7654
120,8,-2.299
127.5,8,-1.6023
135,8,0.052752
142.5,8,-1.2901
150,8,-2.2176
157.5,8,-1.0754
165,8,-0.50346
172.5,8,-3.1731
180,8,-3.9326
187.5,8,-3.4544
195,8,-2.7016
202.5,8,-4.711
210,8,-4.3216
217.5,8,-5.9919
225,8,-4.319
232.5,8,-1.8739
240,8,-1.6259
247.5,8,0.84776
255,8,-0.34823
262.5,8,-1.7635
270,8,-1.1337
277.5,8,3.1213
285,8,5.8943
292.5,8,6.8904
300,8,8.1827
307.5,8,8.5323
315,8,8.3846
322.5,8,6.2761
330,8,2.4786
337.5,8,3.3355
345,8,2.3944
352.5,8,2.4802
360,8,0.74715
7.5,10,0.42666
15,10,-1.3799
22.5,10,-2.81
30,10,-4.3812
37.5,10,-3.5891
45,10,-3.4025
52.5,10,-3.3555
60,10,-2.6191
67.5,10,-2.7516
75,10,-1.709
82.5,10,-2.0644
90,10,0.12705
97.5,10,-0.68117
105,10,-1.8246
112.5,10,-1.8431
120,10,-0.60499
127.5,10,0.8877
135,10,-1.0602
142.5,10,-2.3892
150,10,-3.4299
157.5,10,-1.8636
165,10,-1.8047
172.5,10,-2.1209
180,10,-1.6399
187.5,10,-2.0658
195,10,-5.1231
202.5,10,-3.6219
210,10,-5.097
217.5,10,-3.8662
225,10,-3.6087
232.5,10,-2.8178
240,10,-0.75121
247.5,10,-1.3103
255,10,-0.62145
262.5,10,-1.3618
270,10,-0.17952
277.5,10,3.7141
285,10,3.7391
292.5,10,6.3601
300,10,8.1725
307.5,10,7.7696
315,10,7.6151
322.5,10,5.2136
330,10,4.9631
337.5,10,3.9491
345,10,1.6578
352.5,10,0.79179
360,10,0.3052
