,,
7.5,2,-1.8026
15,2,-4.4611
22.5,2,-3.9186
30,2,-4.9799
37.5,2,-14.283
45,2,-0.94055
52.5,2,-10.25
60,2,-0.30923
67.5,2,-2.7031
75,2,-2.1861
82.5,2,2.4081
90,2,2.3795
97.5,2,-0.98447
105,2,-5.8935
112.5,2,-1.95
120,2,-3.4972
127.5,2,-1.3615
135,2,-0.14335
142.5,2,-2.7949
150,2,0.82389
157.5,2,3.2721
165,2,3.1909
172.5,2,-3.7726
180,2,-2.3881
187.5,2,-5.9054
195,2,-6.2692
202.5,2,-6.5245
210,2,-10.314
217.5,2,-7.9589
225,2,-8.1153
232.5,2,-6.044
240,2,-0.8785
247.5,2,-1.7559
255,2,-4.5014
262.5,2,0.98741
270,2,2.5302
277.5,2,-1.0271
285,2,-2.693
292.5,2,-4.615
300,2,-3.6148
307.5,2,-4.6242
315,2,5.1896
322.5,2,-2.46
330,2,11.253
337.5,2,2.6633
345,2,8.2766
352.5,2,5.4211
360,2,0.97844
7.5,4,-2.2066
15,4,-3.18
22.5,4,-3.6411
30,4,-9.0898
37.5,4,-8.8335
45,4,-5.7994
52.5,4,-4.2267
60,4,-2.5816
67.5,4,2.0912
75,4,-0.13157
82.5,4,-2.7068
90,4,-5.5481
97.5,4,-0.020082
105,4,-2.0679
112.5,4,-2.9766
120,4,3.2282
127.5,4,0.34418
135,4,2.9053
142.5,4,4.299
150,4,1.9002
157.5,4,-4.4078
165,4,-1.2707
172.5,4,-4.2787
180,4,-5.6544
187.5,4,-3.4511
195,4,-6.1815
202.5,4,-7.1113
210,4,-11.396
217.5,4,-7.5893
225,4,-6.6413
232.5,4,-3.5462
240,4,-1.2414
247.5,4,-5.4316
255,4,-1.4961
262.5,4,-3.3685
270,4,-3.7009
277.5,4,1.0369
285,4,3.9872
292.5,4,5.7014
300,4,8.3982
307.5,4,1.1992
315,4,7.4559
322.5,4,7.4396
330,4,6.9238
337.5,4,4.4382
345,4,3.5684
352.5,4,6.0525
360,4,2.35
7.5,6,1.6783
15,6,-2.6374
22.5,6,-6.6869
30,6,-8.3501
37.5,6,-5.1973
45,6,-4.435
52.5,6,-1.7955
60,6,-6.0335
67.5,6,0.75157
75,6,1.5424
82.5,6,-0.80222
90,6,0.096114
97.5,6,-2.8842
105,6,-3.5755
112.5,6,1.3258
120,6,2.1384
127.5,6,2.4761
135,6,2.1141
142.5,6,0.60605
150,6,1.5273
157.5,6,-2.9682
165,6,-1.2847
172.5,6,-3.8144
180,6,-2.8254
187.5,6,-2.9062
195,6,-4.9735
202.5,6,-6.1
210,6,-6.9094
217.5,6,-5.283
225,6,-6.2918
232.5,6,-4.7229
240,6,-4.2882
247.5,6,-2.1075
255,6,-2.0668
262.5,6,-2.2253
270,6,-2.9776
277.5,6,4.1548
285,6,2.7202
292.5,6,3.6641
300,6,4.6233
307.5,6,3.1245
315,6,7.5812
322.5,6,6.8207
330,6,3.5001
337.5,6,4.5217
345,6,3.5088
352.5,6,2.5788
360,6,1.8648
7.5,8,0.77823
15,8,-0.61757
22.5,8,-0.93087
30,8,-0.21016
37.5,8,-6.6186
45,8,-6.3572
52.5,8,-4.18
60,8,0.52122
67.5,8,-4.0236
75,8,-3.7089
82.5,8,-1.9354
90,8,1.3494
97.5,8,-1.3633
105,8,-3.2789
112.5,8,-3.1406
120,8,-3.0275
127.5,8,-1.0424
135,8,1.3857
142.5,8,0.41911
150,8,-0.63127
157.5,8,0.82185
165,8,-1.6399
172.5,8,-1.5901
180,8,-5.9229
187.5,8,-5.5992
195,8,-4.8233
202.5,8,-5.8096
210,8,-4.2452
217.5,8,-6.0388
225,8,-7.4961
232.5,8,-0.62266
240,8,-3.2913
247.5,8,-1.6761
255,8,-0.17453
262.5,8,-0.73019
270,8,0.14331
277.5,8,1.5456
285,8,6.0193
292.5,8,6.0477
300,8,11.457
307.5,8,10.35
315,8,6.6306
322.5,8,5.8556
330,8,2.5334
337.5,8,3.2608
345,8,-0.30869
352.5,8,0.84574
360,8,0.31598
7.5,10,-0.33968
15,10,-1.4066
22.5,10,-3.4164
30,10,-3.2059
37.5,10,-3.055
45,10,-4.2325
52.5,10,-7.7901
60,10,-1.1925
67.5,10,-5.9954
75,10,-3.0215
82.5,10,-0.12865
90,10,-2.1883
97.5,10,0.10824
105,10,-0.50025
112.5,10,-2.7182
120,10,-0.23601
127.5,10,2.3038
135,10,0.54715
142.5,10,-2.3576
150,10,-5.1236
157.5,10,0.18954
165,10,-0.73541
172.5,10,-2.36
180,10,1.4629
187.5,10,-2.442
195,10,-5.1496
202.5,10,-4.3295
210,10,-4.7321
217.5,10,-1.9306
225,10,-6.8498
232.5,10,-8.3343
240,10,-2.6804
247.5,10,-2.5734
255,10,-1.7695
262.5,10,-3.953
270,10,-1.9488
277.5,10,3.1261
285,10,3.1388
292.5,10,6.9122
300,10,6.147
307.5,10,7.3505
315,10,7.2901
322.5,10,2.669
330,10,5.435
337.5,10,1.3007
345,10,-1.8682
352.5,10,2.3826
360,10,0.81015
