,,
7.5,2,0.017418
15,2,4.1302
22.5,2,2.8984
30,2,2.6179
37.5,2,3.5301
45,2,2.9509
52.5,2,3.9547
60,2,0.22354
67.5,2,-0.14286
75,2,-2.5691
82.5,2,-3.6224
90,2,0.71188
97.5,2,0.41707
105,2,2.3454
112.5,2,0.38643
120,2,-4.5721
127.5,2,-4.7989
135,2,-4.3928
142.5,2,-3.783
150,2,-7.9382
157.5,2,-5.4976
165,2,-2.3123
172.5,2,-1.528
180,2,-3.0682
187.5,2,-4.4857
195,2,-9.0195
202.5,2,-6.9269
210,2,-5.0042
217.5,2,-2.9745
225,2,-4.4753
232.5,2,-4.9542
240,2,-4.9509
247.5,2,-4.3301
255,2,-0.036735
262.5,2,-0.60947
270,2,2.3658
277.5,2,3.2998
285,2,0.90463
292.5,2,-0.0077978
300,2,2.316
307.5,2,0.55665
315,2,2.7313
322.5,2,4.6178
330,2,7.691
337.5,2,5.9004
345,2,7.6334
352.5,2,5.3627
360,2,3.7671
7.5,4,1.8976
15,4,1.8964
22.5,4,2.9202
30,4,3.7199
37.5,4,4.4318
45,4,2.1025
52.5,4,0.58313
60,4,-0.93408
67.5,4,0.45635
75,4,-0.48553
82.5,4,0.89955
90,4,0.9744
97.5,4,1.7101
105,4,0.27621
112.5,4,0.051187
120,4,-3.731
127.5,4,-1.1472
135,4,-3.5695
142.5,4,-5.1053
150,4,-3.7297
157.5,4,-5.6802
165,4,-5.6044
172.5,4,-4.3849
180,4,-4.6397
187.5,4,-5.6573
195,4,-5.8996
202.5,4,-4.9797
210,4,-5
217.5,4,-3.4397
225,4,-3.5141
232.5,4,-3.7656
240,4,-3.5547
247.5,4,-3.7418
255,4,-2.1846
262.5,4,-2.3843
270,4,-3.0698
277.5,4,1.2918
285,4,3.1089
292.5,4,2.2151
300,4,1.0445
307.5,4,2.5588
315,4,2.864
322.5,4,2.2332
330,4,5.5801
337.5,4,6.1921
345,4,4.8174
352.5,4,5.6501
360,4,3.1376
7.5,6,2.4077
15,6,2.5975
22.5,6,3.2439
30,6,1.4397
37.5,6,1.6286
45,6,-1.1457
52.5,6,1.0695
60,6,0.54711
67.5,6,1.12
75,6,-0.16614
82.5,6,1.4417
90,6,1.9757
97.5,6,2.6652
105,6,1.1269
112.5,6,1.7328
120,6,-2.2966
127.5,6,-3.4751
135,6,-4.3256
142.5,6,-3.4839
150,6,-3.9309
157.5,6,-3.8081
165,6,-5.4829
172.5,6,-3.2026
180,6,-3.7637
187.5,6,-5.6259
195,6,-4.3643
202.5,6,-5.2706
210,6,-4.2661
217.5,6,-4.8886
225,6,-3.7946
232.5,6,-2.5308
240,6,-4.835
247.5,6,-4.388
255,6,-4.2656
262.5,6,-3.8455
270,6,-2.256
277.5,6,-0.34474
285,6,2.0151
292.5,6,0.95597
300,6,0.62275
307.5,6,2.2007
315,6,2.0688
322.5,6,2.85
330,6,3.5353
337.5,6,5.2205
345,6,4.593
352.5,6,4.1072
360,6,2.3279
7.5,8,1.9023
15,8,2.487
22.5,8,-0.087879
30,8,-0.27756
37.5,8,1.3549
45,8,1.06
52.5,8,-0.18055
60,8,-0.33583
67.5,8,0.69413
75,8,-0.88245
82.5,8,0.22581
90,8,1.4395
97.5,8,3.0086
105,8,-0.12962
112.5,8,-0.75575
120,8,-0.42649
127.5,8,-0.82528
135,8,-4.2033
142.5,8,-2.894
150,8,-4.7471
157.5,8,-3.606
165,8,-4.231
172.5,8,-3.0958
180,8,-3.8849
187.5,8,-4.7149
195,8,-4.8811
202.5,8,-5.2706
210,8,-4.1129
217.5,8,-3.5196
225,8,-3.3584
232.5,8,-4.9281
240,8,-3.5843
247.5,8,-4.3012
255,8,-3.7177
262.5,8,-5.6241
270,8,-1.8384
277.5,8,1.0616
285,8,2.8357
292.5,8,-0.47434
300,8,1.5882
307.5,8,1.201
315,8,2.9342
322.5,8,4.6094
330,8,3.4622
337.5,8,6.2415
345,8,4.8617
352.5,8,4.4401
360,8,2.6324
7.5,10,1.3656
15,10,-0.030957
22.5,10,0.20398
30,10,1.1154
37.5,10,1.0259
45,10,1.3516
52.5,10,1.0417
60,10,1.1486
67.5,10,-0.35741
75,10,-0.54261
82.5,10,-1.996
90,10,0.71699
97.5,10,2.2654
105,10,0.65712
112.5,10,-1.7861
120,10,-0.26522
127.5,10,-2.2402
135,10,-1.7783
142.5,10,-3.4001
150,10,-4.0003
157.5,10,-3.461
165,10,-4.6608
172.5,10,-2.6813
180,10,-3.2211
187.5,10,-4.2592
195,10,-4.0799
202.5,10,-2.8631
210,10,-4.1376
217.5,10,-5.6157
225,10,-5.9573
232.5,10,-4.808
240,10,-3.2561
247.5,10,-3.5079
255,10,-4.2234
262.5,10,-4.0515
270,10,-2.2555
277.5,10,1.1372
285,10,1.2282
292.5,10,0.46197
300,10,1.6756
307.5,10,1.939
315,10,3.9671
322.5,10,3.639
330,10,5.0252
337.5,10,4.8319
345,10,5.2875
352.5,10,3.7992
360,10,3.0006
