,,
7.5,2,0.37779
15,2,0.39807
22.5,2,0.40366
30,2,0.2968
37.5,2,0.24114
45,2,0.17743
52.5,2,0.37859
60,2,0.47619
67.5,2,0.37026
75,2,0.28045
82.5,2,0.28024
90,2,0.48107
97.5,2,0.45683
105,2,0.38983
112.5,2,0.52652
120,2,0.27497
127.5,2,0.27814
135,2,0.49999
142.5,2,0.28729
150,2,0.40069
157.5,2,0.19533
165,2,0.21323
172.5,2,0.3705
180,2,0.31249
187.5,2,0.25015
195,2,0.2487
202.5,2,0.23322
210,2,0.25139
217.5,2,0.29673
225,2,0.077805
232.5,2,0.10529
240,2,0.050712
247.5,2,0.090504
255,2,0.0084188
262.5,2,0.18931
270,2,0.097445
277.5,2,0.090644
285,2,0.056338
292.5,2,0.075885
300,2,0.029958
307.5,2,0.18724
315,2,0.11195
322.5,2,0.22498
330,2,0.2859
337.5,2,0.10319
345,2,0.22667
352.5,2,0.22866
360,2,0.13197
7.5,4,0.79354
15,4,0.72987
22.5,4,0.65654
30,4,0.51567
37.5,4,0.5211
45,4,0.67547
52.5,4,0.49412
60,4,0.54212
67.5,4,0.65865
75,4,0.91226
82.5,4,0.67412
90,4,0.84149
97.5,4,1.0385
105,4,0.89309
112.5,4,0.94834
120,4,0.87206
127.5,4,0.62986
135,4,0.44547
142.5,4,0.75994
150,4,0.89051
157.5,4,0.46403
165,4,0.38959
172.5,4,0.19591
180,4,0.34571
187.5,4,0.048408
195,4,0.54736
202.5,4,0.44775
210,4,0.16333
217.5,4,0.43547
225,4,0.44238
232.5,4,0.38232
240,4,0.13365
247.5,4,0.46486
255,4,0.47131
262.5,4,0.17571
270,4,-0.13371
277.5,4,0.31439
285,4,0.10446
292.5,4,0.21289
300,4,0.023403
307.5,4,0.23241
315,4,0.21616
322.5,4,0.35607
330,4,0.31963
337.5,4,0.54298
345,4,0.3618
352.5,4,0.4676
360,4,0.38057
7.5,6,1.0078
15,6,0.84698
22.5,6,0.9145
30,6,0.94119
37.5,6,0.61403
45,6,0.85391
52.5,6,1.0174
60,6,1.161
67.5,6,0.85339
75,6,0.59556
82.5,6,0.86459
90,6,1.1379
97.5,6,1.2958
105,6,1.2006
112.5,6,1.6171
120,6,1.1118
127.5,6,1.4978
135,6,0.77078
142.5,6,0.99049
150,6,1.0625
157.5,6,0.70045
165,6,0.64972
172.5,6,0.87029
180,6,1.0451
187.5,6,0.83373
195,6,0.86129
202.5,6,1.4104
210,6,1.1308
217.5,6,1.119
225,6,1.269
232.5,6,1.026
240,6,0.59996
247.5,6,1.0069
255,6,0.88219
262.5,6,0.35942
270,6,0.45925
277.5,6,0.63762
285,6,0.8986
292.5,6,0.85996
300,6,0.71901
307.5,6,0.59551
315,6,0.66673
322.5,6,0.77785
330,6,0.47762
337.5,6,0.83498
345,6,1.0412
352.5,6,0.89102
360,6,1.0907
7.5,8,1.5693
15,8,1.1986
22.5,8,1.4118
30,8,1.3011
37.5,8,1.2784
45,8,1.0142
52.5,8,1.1533
60,8,1.1133
67.5,8,1.5851
75,8,1.3222
82.5,8,1.2459
90,8,1.451
97.5,8,1.8878
105,8,1.7883
112.5,8,1.6561
120,8,1.8485
127.5,8,1.1887
135,8,1.4249
142.5,8,1.1825
150,8,1.3016
157.5,8,1.0955
165,8,0.81375
172.5,8,1.3637
180,8,0.74425
187.5,8,1.3899
195,8,1.4848
202.5,8,1.48
210,8,1.5978
217.5,8,1.9825
225,8,1.346
232.5,8,1.1978
240,8,1.1159
247.5,8,1.0514
255,8,0.74802
262.5,8,0.78643
270,8,0.6657
277.5,8,0.74209
285,8,0.68195
292.5,8,0.9439
300,8,1.011
307.5,8,1.2476
315,8,0.85733
322.5,8,0.7952
330,8,1.2622
337.5,8,0.95192
345,8,1.4867
352.5,8,1.2981
360,8,1.1846
7.5,10,1.7595
15,10,1.404
22.5,10,1.5602
30,10,1.6693
37.5,10,1.1848
45,10,1.1265
52.5,10,1.5945
60,10,1.2728
67.5,10,1.5483
75,10,1.5001
82.5,10,1.7374
90,10,1.4771
97.5,10,1.7467
105,10,2.2468
112.5,10,1.7265
120,10,1.7429
127.5,10,1.7046
135,10,1.2738
142.5,10,1.2696
150,10,1.4259
157.5,10,1.141
165,10,1.3451
172.5,10,1.3957
180,10,1.2036
187.5,10,1.7971
195,10,1.8454
202.5,10,1.73
210,10,1.7337
217.5,10,1.8219
225,10,1.959
232.5,10,0.95892
240,10,1.0854
247.5,10,1.2592
255,10,0.82208
262.5,10,0.49482
270,10,0.51527
277.5,10,0.599
285,10,0.47549
292.5,10,0.72503
300,10,1.0332
307.5,10,0.67141
315,10,1.2874
322.5,10,0.93337
330,10,0.95492
337.5,10,1.1448
345,10,1.3629
352.5,10,1.369
360,10,1.6428
